series_id,industry_code,industry_name,supersector_code,seasonal_code,datatype_code,metric,year,period,period_name,value,footnote_codes,ingested_at
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2026,M03,March,37.35,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2026,M02,February,37.27,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2026,M01,January,37.15,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2025,M12,December,37.02,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2025,M11,November,37.0,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2025,M10,October,36.85,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2025,M09,September,36.7,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2025,M08,August,36.62,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2025,M07,July,36.47,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2025,M06,June,36.36,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2025,M05,May,36.28,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2025,M04,April,36.12,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2025,M03,March,36.11,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2025,M02,February,35.94,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2025,M01,January,35.84,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2024,M12,December,35.69,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2024,M11,November,35.6,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2024,M10,October,35.46,,2026-08-25 14:48:41.372731
