area,area_title,occ_code,occ_title,o_group,tot_emp,a_mean,a_median,a_pct10,a_pct25,a_pct75,a_pct90,year
99,U.S.,19-4071,Forest and Conservation Technicians,detailed,19060.0,45860.0,45500.0,29830.0,36160.0,53790.0,61370.0,2019
99,U.S.,19-4092,Forensic Science Technicians,detailed,16520.0,63170.0,59150.0,35620.0,45180.0,77200.0,97350.0,2019
99,U.S.,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,64260.0,53670.0,50550.0,30050.0,38010.0,63940.0,81710.0,2019
99,U.S.,19-5011,Occupational Health and Safety Specialists,detailed,92780.0,76290.0,74100.0,43630.0,57400.0,92470.0,111130.0,2019
99,U.S.,19-5012,Occupational Health and Safety Technicians,detailed,20580.0,56470.0,51550.0,32830.0,40090.0,68940.0,89720.0,2019
99,U.S.,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,296460.0,61000.0,57040.0,34380.0,44010.0,74430.0,96090.0,2019
99,U.S.,21-1013,Marriage and Family Therapists,detailed,59050.0,54590.0,49610.0,32070.0,37740.0,64630.0,87700.0,2019
99,U.S.,21-1015,Rehabilitation Counselors,detailed,109040.0,40160.0,35950.0,23820.0,28140.0,48110.0,63790.0,2019
99,U.S.,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,283540.0,49950.0,46240.0,29520.0,35960.0,59650.0,76080.0,2019
99,U.S.,21-1019,"Counselors, All Other",detailed,25420.0,48800.0,42930.0,27030.0,33690.0,59170.0,77590.0,2019
99,U.S.,21-1021,"Child, Family, and School Social Workers",detailed,327710.0,51030.0,47390.0,30870.0,37320.0,60600.0,78230.0,2019
99,U.S.,21-1022,Healthcare Social Workers,detailed,174890.0,59300.0,56750.0,35000.0,44200.0,71000.0,86130.0,2019
99,U.S.,21-1023,Mental Health and Substance Abuse Social Workers,detailed,117770.0,51670.0,46650.0,29540.0,35790.0,61930.0,80900.0,2019
99,U.S.,21-1029,"Social Workers, All Other",detailed,58410.0,61750.0,61230.0,34210.0,43570.0,78720.0,90800.0,2019
99,U.S.,21-1091,Health Education Specialists,detailed,58590.0,60500.0,55220.0,32890.0,40970.0,75050.0,98680.0,2019
99,U.S.,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,88120.0,59910.0,54290.0,36370.0,43040.0,72450.0,94860.0,2019
99,U.S.,21-1093,Social and Human Service Assistants,detailed,404450.0,37050.0,35060.0,23750.0,28190.0,43800.0,54230.0,2019
99,U.S.,21-1094,Community Health Workers,detailed,58950.0,44390.0,40360.0,26660.0,32850.0,52850.0,68350.0,2019
99,U.S.,21-1099,"Community and Social Service Specialists, All Other",detailed,97480.0,46900.0,43790.0,26030.0,33680.0,57320.0,73220.0,2019
99,U.S.,21-2011,Clergy,detailed,53180.0,55190.0,50400.0,26810.0,36810.0,65320.0,86970.0,2019
99,U.S.,21-2021,"Directors, Religious Activities and Education",detailed,21820.0,50490.0,43860.0,23540.0,30580.0,62240.0,90870.0,2019
99,U.S.,21-2099,"Religious Workers, All Other",detailed,9450.0,39830.0,31630.0,20740.0,24780.0,46640.0,65630.0,2019
99,U.S.,23-1011,Lawyers,detailed,657170.0,145300.0,122960.0,59670.0,80950.0,186350.0,,2019
99,U.S.,23-1012,Judicial Law Clerks,detailed,16630.0,59890.0,54010.0,33910.0,41640.0,72160.0,96990.0,2019
99,U.S.,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,14380.0,100230.0,97870.0,45970.0,65130.0,129880.0,172010.0,2019
99,U.S.,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,6090.0,73720.0,63930.0,37420.0,46460.0,94230.0,123730.0,2019
99,U.S.,23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,28670.0,128550.0,136910.0,39110.0,77910.0,165320.0,204200.0,2019
99,U.S.,23-2011,Paralegals and Legal Assistants,detailed,329870.0,55020.0,51740.0,32160.0,39500.0,65610.0,82500.0,2019
99,U.S.,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,52890.0,52050.0,48180.0,29060.0,36700.0,62090.0,79920.0,2019
99,U.S.,23-2099,"Legal Support Workers, All Other",detailed,45080.0,70840.0,58400.0,32070.0,43950.0,93050.0,134710.0,2019
99,U.S.,25-1011,"Business Teachers, Postsecondary",detailed,83920.0,105440.0,87200.0,39470.0,57680.0,133160.0,196980.0,2019
99,U.S.,25-1021,"Computer Science Teachers, Postsecondary",detailed,31800.0,98430.0,85180.0,42750.0,59550.0,123720.0,169980.0,2019
99,U.S.,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,51150.0,86330.0,73690.0,38790.0,53170.0,106460.0,154320.0,2019
99,U.S.,25-1031,"Architecture Teachers, Postsecondary",detailed,6780.0,98980.0,87900.0,43000.0,63450.0,124060.0,175390.0,2019
99,U.S.,25-1032,"Engineering Teachers, Postsecondary",detailed,36080.0,112110.0,101010.0,53030.0,74510.0,136400.0,185720.0,2019
99,U.S.,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,9470.0,89320.0,83260.0,40750.0,57770.0,113790.0,149700.0,2019
99,U.S.,25-1042,"Biological Science Teachers, Postsecondary",detailed,53090.0,98700.0,83300.0,44750.0,59710.0,122410.0,173930.0,2019
99,U.S.,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed,1770.0,90940.0,85450.0,49210.0,63810.0,112470.0,138950.0,2019
99,U.S.,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,11020.0,102690.0,92040.0,47660.0,65900.0,127210.0,173140.0,2019
99,U.S.,25-1052,"Chemistry Teachers, Postsecondary",detailed,21380.0,92650.0,79550.0,45940.0,59100.0,112340.0,159160.0,2019
99,U.S.,25-1053,"Environmental Science Teachers, Postsecondary",detailed,6060.0,93450.0,82430.0,44760.0,59920.0,115350.0,158030.0,2019
99,U.S.,25-1054,"Physics Teachers, Postsecondary",detailed,13780.0,101110.0,89590.0,49690.0,64660.0,124880.0,168900.0,2019
99,U.S.,25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,5850.0,95140.0,86220.0,46700.0,63600.0,117210.0,157840.0,2019
99,U.S.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,10600.0,88410.0,77070.0,38610.0,54920.0,105140.0,157030.0,2019
99,U.S.,25-1063,"Economics Teachers, Postsecondary",detailed,13270.0,119160.0,104370.0,51090.0,73330.0,146270.0,206150.0,2019
99,U.S.,25-1064,"Geography Teachers, Postsecondary",detailed,3970.0,86540.0,80520.0,43740.0,62170.0,105300.0,137690.0,2019
99,U.S.,25-1065,"Political Science Teachers, Postsecondary",detailed,15750.0,102290.0,85930.0,44340.0,61590.0,122800.0,184340.0,2019
